"I"	"se.I"	"G"	"se.G"	"rls"	"se.rls"
"fig1c.BY4742"	0.00319802948062642	0.000557360715316456	0.123585830107625	0.00817549062185099	27.2614555765596	0.561961590262051
"fig1c.fob1"	0.00332710663630317	0.000822003803460381	0.0744720358181258	0.00694411949969918	37.7184183673469	1.14492652699095
"fig1c.gpa2"	0.00386246191844008	0.0015642529801261	0.0872309871113561	0.0209700281272830	34.530625	1.96317449212709
"fig1c.fob1.gpa2"	0.00175139951057009	0.00101961849500626	0.0616968780025035	0.0161049707924686	54.790625	2.91441866206976
"fig2a.BY4742"	0.00359804390381516	0.00088706306358594	0.121996690014228	0.0124599244380471	26.8192307692308	0.74507464879898
"fig2a.sir2"	0.00269942378518378	0.00116034753683932	0.332479230987862	0.0353943455989298	13.9518518518519	0.403803528339262
"fig2a.hxk2.sir2"	0.00418360853957067	0.00237039643691172	0.35453745879184	0.066969129877053	12.5755555555556	0.601908416636518
"fig2a.gpa2.sir2"	0.00240227802861594	0.00157163679646368	0.457488130851659	0.0720636951513257	11.594375	0.470899558537454
"fig2b.BY4742"	0.00542778506438176	0.000953093880153176	0.0982534299086449	0.00896713447237192	27.478325	0.798758659644316
"fig2b.sir2"	0.0027085681794524	0.00101735549660621	0.330729337650251	0.0336246699928358	13.9417283950617	0.403694655279676
"fig2b.sir2.fob1"	0.00602711153830174	0.00125875331320144	0.078652726021504	0.00897792705709789	30.0017857142857	1.03538982939314
"fig2c.BY4742"	0.00355686164000293	0.000833749804317388	0.124344777802017	0.0122504105339479	26.4843252595156	0.686065952002265
"fig2c.sir2.fob1"	0.00593159260841781	0.00111911205334369	0.0789861318090104	0.00783051461031283	30.0504081632653	0.97213254049022
"fig2c.sir2.fob1.hxk2"	0.00277044739100580	0.00142400456374243	0.0608907838397186	0.0118436341232489	46.0672222222222	2.44079994965272
"fig2d.BY4742"	0.00346375098734521	0.00076702684177984	0.124456860192954	0.0113800812958907	26.6569896193772	0.598955992068358
"fig2d.sir2.fob1"	0.00610659077846486	0.00124085506294395	0.0784408746423841	0.00806882786240575	29.9082142857143	0.962410503955367
"fig2d.gpa2.sir2.fob1"	0.000893151802950368	0.000860190795163808	0.0848276717756215	0.0186710844460749	51.115625	2.90309123210468
"fig3.by4742.2glucose"	0.0032668015434644	0.00185335217859819	0.155100330387547	0.0346320337908187	24.975	1.22812437223769
"fig3.sir2.fob1.2glucose"	0.0119662638497847	0.00686059910381505	0.0848341849484412	0.0541477869587496	25.9775	2.01144586645632
"fig3.by4742.05glucose"	0.00841958753473406	0.00282248626434682	0.0784318517135306	0.0129698499523766	27.115	1.80781199534861
"fig3.sir2.fob1.05glucose"	0.000754594466952395	0.000897047068704586	0.172328098978498	0.0477773676973037	33.24	1.45932572750136
"fig3.WT.01glucose"	0.00480970246350901	0.00256660021289876	0.0964781019665152	0.0213140319614114	30.2425	1.83735185582546
"fig3.sir2.fob1.01glucose"	0.00300071726333267	0.00197676057943902	0.0815788187841803	0.0289663890672090	41.7275	2.9495974301589
"fig3.by4742.005glucose"	0.00238673959872373	0.00223546936775816	0.139120247680117	0.0516177149829958	31.8	2.70788322845491
"fig3.sir2.fob1.005glucose"	0.00400708249270787	0.00265575798470658	0.0747267301650238	0.0260432816037464	40.155	2.79274907007791
"fig4a.PSY316"	0.00661947861207429	0.00351221902665277	0.135363999607819	0.0404715089143848	21.244375	1.03959261467518
"fig4a.PSY316.fob1"	0.00354784063214516	0.00247642676052283	0.202088005261053	0.0488483878338063	20.256875	1.04349307831302
"fig4a.PSY316.sir2ox"	0.00259844250000442	0.00131753704008549	0.183360927617760	0.0271111963813869	21.7724	0.765702451934144
"fig4b.BY4742.2glucose"	0.00268144041803017	0.000994532996431544	0.140982555132652	0.0170353276775116	26.1883333333333	0.787695511257836
"fig4b.BY4742.005glucose"	0.00301054089767717	0.00127505936555998	0.107108981095934	0.0208711604331045	32.0413888888889	1.58322031016962
"fig4b.by4742.SIR2.ox.2glucose"	0.00303716720692557	0.00094511982038902	0.0948958622989604	0.0135521469877037	34.5944444444444	1.55702546907949
"fig4b.by4742.SIR2.ox.005glucose"	0.00309670096986146	0.000889972230758534	0.0655127931626823	0.00747031863661144	42.20671875	1.62293557248241
