orfname, Ka, Ks, Ka/Ks 
YBR242W,0.072,0.531,0.136
YBR243C,0.048,0.562,0.085
YBR244W,0.052,0.571,0.091
YBR246W,,,
YBR247C,0.034,0.566,0.06
YBR248C,,,
YBR249C,0.011,0.317,0.036
YBR250W,0.088,0.676,0.131
YBR251W,0.026,0.532,0.049
YBR252W,0.018,0.534,0.033
YBR253W,0.068,0.585,0.116
YBR254C,,,
YBR255W,0.08,0.498,0.16
YBR256C,0.057,0.734,0.078
YBR257W,0.098,0.563,0.174
YBR258C,0.152,0.544,0.28
YBR259W,0.205,0.556,0.368
YBR260C,0.032,0.538,0.06
YBR261C,0.047,0.589,0.08
YBR262C,0.111,0.404,0.276
YBR265W,0.029,0.532,0.054
YBR267W,0.06,0.505,0.119
YBR268W,0.091,0.673,0.135
YBR270C,0.071,0.582,0.123
YBR271W,0.126,0.561,0.225
YBR273C,0.121,0.525,0.231
YBR274W,,,
YBR276C,,,
YBR278W,,,
YBR279W,0.064,0.542,0.118
YBR281C,0.038,0.513,0.073
YBR282W,0.05,0.421,0.119
YBR283C,0.02,0.453,0.044
YBR284W,0.114,0.627,0.183
YBR285W,0.139,0.444,0.312
YBR287W,0.031,0.648,0.048
YBR288C,0.065,0.502,0.129
YBR290W,0.062,0.642,0.097
YBR291C,,,
YBR293W,0.058,0.598,0.097
YBR295W,0.206,0.609,0.339
YBR296C,,,
YBR298C,0.061,0.52,0.116
YBR299W,0.048,0.631,0.076
YBR301W,0.025,0.375,0.068
YCL001W,0.045,0.494,0.092
YCL008C,0.096,0.421,0.229
YCL009C,0.021,0.381,0.056
YCL010C,0.054,0.422,0.127
YCL011C,0.041,0.361,0.113
YCL016C,0.06,0.462,0.13
YCL017C,0.028,0.444,0.062
YCL025C,0.045,0.496,0.09
YCL027W,0.103,0.628,0.164
YCL028W,0.049,0.513,0.096
YCL029C,0.074,0.435,0.171
YCL030C,0.031,0.525,0.06
YCL031C,0.037,0.446,0.084
YCL032W,0.065,0.46,0.142
YCL033C,,,
YCL034W,0.071,0.497,0.143
YCL035C,0.024,0.543,0.044
YCL036W,,,
YCL038C,0.04,0.518,0.077
YCL039W,0.054,0.51,0.106
YCL040W,0.008,0.534,0.015
YCL043C,0.033,0.455,0.073
YCL044C,0.053,0.525,0.101
YCL045C,0.108,0.619,0.175
YCL047C,0.078,0.56,0.139
YCL048W,0.076,0.553,0.138
YCL049C,0.205,0.539,0.38
YCL050C,0.025,0.34,0.074
YCL052C,0.097,0.63,0.154
YCL054W,0.025,0.46,0.054
YCL055W,0.026,0.595,0.044
YCL056C,0.103,0.565,0.183
YCL057W,0.046,0.586,0.078
YCL059C,0.009,0.45,0.02
YCL061C,0.142,0.584,0.244
YCL063W,0.079,0.542,0.146
YCL064C,0.066,0.663,0.1
YCL066W,0.082,0.398,0.207
YCL067C,,0.027,
YCL069W,0.11,0.615,0.178
YCL073C,,,
YCR002C,0.017,0.336,0.05
YCR003W,0.11,0.487,0.226
YCR004C,0.039,0.57,0.069
YCR005C,,,
YCR007C,,,
YCR008W,0.052,0.446,0.117
YCR009C,0.006,0.494,0.012
YCR010C,0.006,0.454,0.014
YCR011C,0.041,0.47,0.088
YCR012W,0.007,0.081,0.084
YCR014C,,,
YCR016W,0.136,0.577,0.235
YCR017C,0.058,0.55,0.106
YCR019W,,,
YCR020C,0.082,0.591,0.138
YCR021C,0.067,0.486,0.137
YCR023C,0.073,0.473,0.154
YCR024C,0.081,0.481,0.169
YCR026C,0.122,0.595,0.206
YCR027C,0.055,0.599,0.091
YCR028C,0.054,0.574,0.095
YCR030C,0.07,0.59,0.119
YCR033W,0.151,0.516,0.293
YCR034W,0.024,0.392,0.06
YCR035C,0.075,0.49,0.153
YCR037C,,,
YCR038C,0.149,0.55,0.27
YCR039C,,,
YCR040W,0.082,0.398,0.207
YCR043C,0.074,0.567,0.131
YCR045C,0.04,0.633,0.063
YCR046C,0.06,0.513,0.117
YCR047C,0.015,0.386,0.04
YCR048W,0.061,0.543,0.113
YCR051W,0.072,0.434,0.166
YCR052W,0.087,0.543,0.16
YCR053W,0.014,0.448,0.031
YCR054C,0.1,0.547,0.184
YCR057C,,,
YCR059C,0.028,0.618,0.046
YCR060W,,,
YCR063W,0.037,0.429,0.085
YCR066W,0.147,0.526,0.279
YCR067C,0.28,0.652,0.428
YCR069W,,,
YCR072C,0.012,0.488,0.024
YCR075C,0.08,0.5,0.16
YCR076C,0.115,0.603,0.19
YCR077C,0.034,0.464,0.073
YCR081W,0.067,0.55,0.122
YCR082W,0.083,0.566,0.146
YCR083W,0.055,1.255,0.044
YCR084C,0.017,0.42,0.04
YCR086W,0.039,0.698,0.055
YCR088W,0.068,0.527,0.129
YCR089W,,,
YCR090C,0.087,0.598,0.146
YCR094W,0.057,0.571,0.1
YCR095C,,,
YCR096C,   ,   ,1
YCR098C,0.042,0.387,0.109
YCR104W,0.039,0.444,0.088
YCR105W,0.072,0.673,0.107
YDL001W,0.036,0.552,0.065
YDL002C,,,
YDL003W,0.128,0.57,0.224
YDL004W,0.041,0.512,0.081
YDL005C,0.17,0.608,0.28
YDL006W,,,
YDL007W,,,
YDL008W,0.078,0.539,0.145
YDL010W,0.111,0.469,0.236
YDL013W,,,
YDL014W,,,
YDL015C,,,
YDL017W,0.02,0.532,0.037
YDL018C,,,
YDL020C,0.098,0.683,0.144
YDL021W,,,
YDL022W,0.002,0.402,0.006
YDL024C,,,
YDL025C,0.068,0.501,0.136
YDL028C,,,
YDL030W,,,
YDL031W,0.047,0.506,0.093
YDL036C,,,
YDL040C,,,
YDL043C,,,
YDL044C,0.153,0.66,0.232
YDL045C,0.043,0.497,0.086
YDL046W,0.048,0.485,0.098
YDL047W,0.004,0.487,0.008
YDL048C,0.064,0.535,0.12
YDL049C,,,
YDL051W,0.024,0.401,0.061
YDL052C,,,
YDL053C,0.117,0.663,0.176
YDL054C,0.076,0.653,0.117
YDL055C,0.001,0.297,0.004
YDL056W,0.063,0.531,0.118
YDL057W,0.174,0.543,0.319
YDL059C,,,
YDL060W,,,
YDL061C,   ,0.053,    
YDL063C,,,
YDL066W,0.01,0.454,0.021
YDL067C,0.017,0.29,0.058
YDL070W,,,
YDL072C,,,
YDL073W,,,
YDL074C,,,
YDL081C,0.022,0.199,0.109
YDL084W,,,
YDL085W,0.037,0.613,0.061
YDL086W,0.012,0.544,0.023
YDL087C,0.04,0.464,0.087
YDL088C,0.163,0.656,0.249
YDL091C,,,
YDL092W,0.09,0.524,0.172
YDL098C,0.129,0.58,0.223
YDL099W,0.21,0.589,0.357
YDL100C,,,
YDL101C,0.05,0.542,0.092
YDL102W,0.018,0.506,0.036
YDL103C,0.054,0.534,0.102
YDL105W,0.085,0.48,0.177
YDL106C,0.057,0.493,0.115
YDL109C,0.155,0.537,0.288
YDL110C,0.055,0.345,0.159
YDL111C,,,
YDL112W,,,
YDL113C,,,
YDL114W,,,
YDL115C,0.102,0.483,0.212
YDL116W,0.072,0.506,0.142
YDL117W,0.062,0.546,0.114
YDL119C,0.06,0.556,0.109
YDL120W,0.074,0.419,0.177
YDL121C,0.097,0.754,0.128
YDL122W,,,
YDL123W,0.068,0.448,0.151
YDL124W,0.057,0.635,0.09
YDL126C,,,
YDL128W,0.021,0.497,0.042
YDL129W,0.104,0.465,0.223
YDL131W,0.015,0.488,0.032
YDL132W,0.028,0.574,0.049
YDL133W,0.061,0.535,0.114
YDL134C,0.021,0.621,0.033
YDL135C,0.008,0.448,0.019
YDL137W,0.007,0.363,0.02
YDL142C,0.131,0.36,0.363
YDL143W,0.012,0.406,0.031
YDL145C,0.026,0.443,0.059
YDL146W,0.071,0.402,0.176
YDL147W,,,
YDL148C,0.077,0.552,0.139
YDL149W,,,
YDL150W,0.075,0.51,0.146
YDL153C,0.091,0.492,0.185
YDL154W,,,
YDL155W,0.081,0.558,0.145
YDL156W,0.06,0.585,0.103
YDL157C,0.034,0.438,0.078
YDL159W,0.053,0.51,0.103
YDL160C,0.014,0.402,0.034
YDL161W,0.074,0.641,0.115
YDL164C,,,
YDL165W,0.007,0.411,0.017
YDL166C,0.036,0.676,0.053
YDL167C,0.127,0.558,0.228
YDL169C,0.156,0.663,0.236
YDL170W,0.052,0.5,0.105
YDL203C,0.09,0.571,0.157
YDL204W,,,
YDL205C,0.017,0.481,0.035
YDL206W,0.106,0.5,0.213
YDL207W,0.082,0.516,0.159
YDL208W,,,
YDL209C,0.115,0.449,0.255
YDL210W,,,
YDL211C,0.206,0.547,0.377
YDL212W,0.047,0.523,0.09
YDL213C,0.069,0.67,0.103
YDL214C,,,
YDL215C,0.019,0.598,0.031
YDL216C,,,
YDL217C,0.014,0.481,0.029
YDL218W,0.065,0.592,0.109
YDL222C,,,
YDL223C,,,
YDL224C,0.067,0.498,0.135
YDL226C,0.057,0.641,0.088
YDL227C,0.043,0.549,0.078
YDL229W,0.001,0.138,0.005
YDL230W,,,
YDL231C,0.048,0.519,0.093
YDL232W,0.053,0.245,0.217
YDL233W,0.084,0.51,0.164
YDL234C,,,
YDL235C,0.029,0.499,0.058
YDL237W,0.109,0.564,0.194
YDL238C,0.092,0.617,0.149
YDL239C,,,
YDL240W,0.055,0.565,0.097
YDL241W,0.377,1.114,0.339
YDR001C,0.011,0.534,0.02
YDR002W,0.019,0.391,0.048
YDR003W,,,
YDR006C,,,
YDR007W,,,
YDR009W,0.071,0.511,0.138
YDR011W,,,
YDR012W,,,
YDR013W,0.029,0.465,0.062
YDR014W,,,
YDR016C,,,
YDR017C,,,
YDR019C,,,
YDR020C,,,
YDR021W,0.021,0.398,0.052
YDR022C,0.125,0.473,0.264
YDR028C,,,
YDR030C,0.148,0.617,0.24
YDR032C,0.005,0.478,0.01
YDR033W,0.019,0.261,0.073
YDR035W,,,
YDR036C,0.067,0.497,0.135
YDR037W,,,
YDR038C,,,
YDR042C,,,
YDR043C,0.064,0.5,0.127
YDR044W,,,
YDR045C,0.005,0.335,0.014
YDR046C,,,
YDR047W,,,
YDR050C,,,
YDR051C,,,
YDR052C,,,
YDR054C,0.006,0.373,0.015
YDR055W,,,
YDR056C,0.139,0.536,0.258
YDR057W,0.137,0.562,0.245
YDR058C,,,
YDR060W,,,
YDR061W,,,
YDR062W,,,
YDR063W,0.061,0.443,0.137
YDR065W,0.149,0.666,0.224
YDR067C,0.055,0.555,0.099
YDR068W,,,
YDR069C,0.077,0.557,0.138
YDR070C,,,
YDR071C,,,
YDR072C,0.083,0.472,0.176
YDR073W,,,
YDR074W,0.018,0.52,0.034
YDR075W,,,
YDR076W,0.089,0.447,0.2
YDR077W,,,
YDR078C,0.08,0.545,0.147
YDR079W,0.008,0.406,0.021
YDR080W,,,
YDR081C,,,
YDR082W,,,
YDR084C,0.041,0.626,0.066
YDR086C,0.025,0.545,0.045
YDR087C,,,
YDR088C,0.123,0.601,0.204
YDR089W,,,
YDR090C,,,
YDR091C,0.009,0.315,0.029
YDR093W,,,
YDR096W,0.085,0.554,0.153
YDR097C,,,
YDR099W,0.006,0.431,0.013
YDR100W,,,
YDR101C,,,
YDR103W,,,
YDR104C,,,
YDR105C,,,
YDR106W,,,
YDR107C,,,
YDR108W,,,
YDR110W,,,
YDR111C,0.068,0.62,0.11
YDR115W,,,
YDR116C,,,
YDR117C,0.108,0.593,0.183
YDR118W,,,
YDR120C,0.045,0.56,0.08
YDR122W,,,
YDR123C,,,
YDR126W,,,
YDR130C,,,
YDR131C,,,
YDR132C,,,
YDR134C,,,
YDR137W,0.129,0.53,0.243
YDR138W,,,
YDR140W,0.075,0.606,0.124
YDR142C,,,
YDR143C,0.158,0.493,0.32
YDR144C,,,
YDR145W,,,
YDR147W,,,
YDR148C,,,
YDR151C,,,
YDR153C,,,
YDR155C,,,
YDR156W,,,
YDR158W,,,
YDR161W,0.061,0.575,0.106
YDR162C,0.13,0.489,0.267
YDR163W,0.246,0.574,0.428
YDR164C,,,
YDR165W,,,
YDR167W,,,
YDR168W,0.067,0.557,0.119
YDR169C,,,
YDR172W,,,
YDR173C,0.141,0.564,0.249
YDR174W,0.007,0.389,0.018
YDR175C,,,
YDR176W,0.111,0.525,0.211
YDR177W,0.01,0.392,0.025
YDR178W,0.046,0.498,0.091
YDR179C,0.17,0.363,0.47
YDR180W,,,
YDR181C,0.181,0.62,0.292
YDR182W,,,
YDR183W,0.121,0.659,0.183
YDR184C,,,
YDR185C,0.059,0.53,0.112
YDR186C,,,
YDR188W,,,
YDR189W,0.033,0.538,0.062
YDR190C,0.02,0.437,0.045
YDR191W,,,
YDR192C,0.202,0.633,0.319
YDR194C,,,
YDR195W,,,
YDR197W,,,
YDR198C,,,
YDR200C,,,
YDR201W,0.071,0.505,0.14
YDR202C,0.05,0.616,0.081
YDR206W,0.159,0.548,0.29
YDR207C,,,
YDR208W,0.045,0.464,0.097
YDR210W,,,
YDR211W,,,
YDR212W,0.011,0.441,0.025
YDR213W,,,
YDR214W,0.065,0.611,0.107
YDR216W,,,
YDR219C,,,
YDR221W,,,
YDR222W,,,
YDR224C,   ,0.208,    
YDR225W,0.013,0.218,0.058
YDR226W,,,
YDR228C,,,
YDR229W,,,
YDR231C,0.052,0.409,0.126
YDR232W,0.023,0.567,0.041
YDR233C,0.037,0.375,0.098
YDR234W,,,
YDR235W,,,
YDR236C,0.115,0.553,0.208
YDR237W,,,
YDR239C,,,
YDR240C,0.163,0.508,0.321
YDR242W,0.081,0.565,0.143
YDR243C,,,
YDR245W,,,
YDR251W,,,
YDR252W,,,
YDR253C,0.134,0.391,0.343
YDR255C,,,
YDR256C,,,
YDR257C,,,
YDR259C,,,
YDR260C,,,
YDR261C,,,
YDR264C,0.064,0.486,0.132
YDR265W,0.174,0.527,0.33
YDR266C,,,
YDR267C,0.032,0.509,0.064
YDR268W,,,
YDR270W,,,
YDR272W,0.1,0.635,0.158
YDR273W,,,
YDR275W,,,
YDR276C,0.007,0.406,0.018
YDR277C,0.043,0.538,0.08
YDR279W,0.123,0.53,0.233
YDR280W,0.018,0.539,0.033
YDR281C,,,
YDR282C,0.148,0.462,0.32
YDR284C,0.044,0.514,0.086
YDR285W,,,
YDR286C,,,
YDR287W,,,
YDR288W,0.104,0.507,0.206
YDR289C,,,
YDR291W,,,
YDR292C,,,
YDR293C,0.031,0.563,0.055
YDR294C,,,
YDR295C,,,
YDR296W,,,
YDR297W,,,
YDR298C,,,
YDR299W,0.084,0.554,0.151
YDR300C,0.037,0.487,0.076
YDR301W,,,
YDR302W,0.04,0.465,0.086
YDR303C,,,
YDR304C,0.04,0.733,0.054
YDR306C,0.058,0.497,0.117
YDR308C,,,
YDR309C,,,
YDR310C,0.11,0.667,0.165
YDR311W,,,
YDR312W,,,
YDR313C,,,
YDR314C,,,
YDR315C,,,
YDR316W,0.105,0.521,0.202
YDR317W,,,
YDR318W,,,
YDR319C,0.101,0.481,0.209
YDR320C,0.174,0.577,0.302
YDR321W,0.029,0.489,0.059
YDR322W,,,
YDR326C,,,
YDR328C,0.021,0.463,0.045
YDR329C,0.073,0.643,0.114
YDR331W,0.06,0.62,0.097
YDR332W,0.074,0.461,0.162
YDR333C,,,
YDR336W,0.18,0.442,0.408
YDR337W,,,
YDR338C,0.039,0.53,0.074
YDR339C,,,
YDR341C,,,
YDR342C,,,
YDR346C,0.057,0.409,0.138
YDR347W,0.074,0.568,0.131
YDR351W,0.115,0.55,0.21
YDR352W,0.064,0.547,0.117
YDR353W,0.021,0.37,0.057
YDR354W,,,
YDR356W,0.12,0.509,0.236
YDR358W,0.152,0.526,0.289
YDR361C,0.058,0.527,0.11
YDR362C,,,
YDR363W,0.153,0.542,0.283
YDR364C,0.099,0.561,0.176
YDR365C,,,
YDR368W,0.038,0.693,0.055
YDR369C,,,
YDR370C,,,
YDR371W,0.122,0.65,0.187
YDR372C,,,
YDR373W,0.012,0.629,0.019
YDR374C,,,
YDR375C,,,
YDR377W,0.018,0.274,0.067
YDR379W,,,
YDR380W,,,
YDR382W,0.02,0.063,0.313
YDR384C,0.022,0.588,0.037
YDR385W,0.004,0.14,0.027
YDR386W,0.096,0.53,0.182
YDR387C,,,
YDR388W,0.033,0.46,0.072
YDR389W,,,
YDR390C,0.097,0.717,0.135
YDR391C,,,
YDR392W,0.017,0.569,0.03
YDR393W,0.109,0.463,0.236
YDR394W,,,
YDR395W,,,
YDR398W,,,
YDR399W,,,
YDR402C,,,
YDR403W,,,
YDR404C,0.003,0.359,0.008
YDR405W,,,
YDR407C,,,
YDR408C,,,
YDR409W,,,
YDR411C,,,
YDR412W,,,
YDR414C,0.111,0.461,0.24
YDR415C,,,
YDR418W,,,
YDR421W,0.109,0.511,0.213
YDR425W,0.074,0.581,0.127
YDR427W,0.035,0.44,0.08
YDR428C,,,
YDR429C,0.021,0.342,0.061
YDR430C,0.063,0.643,0.098
YDR432W,0.02,0.283,0.072
YDR434W,0.062,0.485,0.128
YDR435C,0.107,0.551,0.195
YDR436W,0.071,0.564,0.126
YDR437W,0.063,0.5,0.125
YDR438W,,,
YDR439W,,,
YDR440W,0.141,0.536,0.264
YDR441C,,,
YDR443C,,,
YDR446W,0.13,0.572,0.227
YDR448W,0.03,0.473,0.064
YDR449C,0.038,0.482,0.08
YDR451C,0.104,0.572,0.182
YDR452W,0.103,0.568,0.181
YDR453C,,,
YDR454C,0.021,0.478,0.043
YDR456W,,,
YDR458C,0.197,0.569,0.346
YDR459C,,,
YDR460W,0.02,0.583,0.035
YDR461W,0.076,0.544,0.14
YDR462W,0.062,0.533,0.116
YDR464W,0.144,0.55,0.262
YDR465C,0.076,0.496,0.153
YDR466W,0.125,0.484,0.259
YDR468C,,,
YDR469W,0.214,0.457,0.468
YDR470C,0.072,0.482,0.149
YDR472W,0.072,0.491,0.147
YDR473C,0.153,0.528,0.291
YDR474C,,,
YDR476C,0.05,0.456,0.109
YDR477W,,,
YDR478W,0.222,0.768,0.289
YDR479C,0.065,0.573,0.113
YDR480W,0.148,0.539,0.275
YDR481C,0.057,0.532,0.106
YDR482C,,,
YDR483W,0.115,0.534,0.215
YDR484W,0.078,0.611,0.128
YDR487C,0.023,0.514,0.045
YDR488C,0.162,0.699,0.232
YDR489W,0.035,0.572,0.062
YDR490C,,,
YDR492W,0.029,0.635,0.046
YDR493W,,,
YDR495C,0.15,0.596,0.251
YDR496C,0.06,0.447,0.134
YDR497C,0.038,0.534,0.071
YDR498C,0.116,0.588,0.198
YDR499W,,,
YDR501W,0.175,0.61,0.287
YDR502C,0.007,0.398,0.017
YDR503C,0.077,0.622,0.124
YDR505C,0.11,0.49,0.225
YDR506C,0.176,0.556,0.317
YDR507C,,,
YDR508C,0.027,0.211,0.127
YDR510W,0.009,0.449,0.02
YDR511W,0.032,0.624,0.051
YDR513W,0.02,0.571,0.036
YDR514C,0.102,0.469,0.216
YDR515W,0.238,0.566,0.419
YDR516C,0.009,0.462,0.019
YDR517W,0.074,0.568,0.13
YDR518W,0.056,0.586,0.096
YDR519W,,,
YDR520C,,,
YDR524C,,,
YDR527W,0.098,0.657,0.149
YDR528W,0.105,0.477,0.221
YDR529C,0.017,0.6,0.029
YDR530C,,,
YDR531W,0.037,0.355,0.104
YDR532C,,,
YDR533C,0.076,0.671,0.113
YDR534C,,,
YDR536W,,,
YDR538W,0.075,0.479,0.156
